appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference,service
0365 Access | Mail Client,fc5d3843-d0e8-4c3f-b0ee-6d407f667751,malicious,critical,OwnerTenantId=2c08ab0d-eed9-4034-bfb7-765c52eceef9; OwnerTenantDomains=; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,5037c1a6-7cfc-48b5-b887-f2a045937081,malicious,critical,OwnerTenantId=0648fcb2-de2a-4a11-bd97-872c9b1a452b; OwnerTenantDomains=damiongosamemorialfo.onmicrosoft.com; dgm-f.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,58427324-4e5d-4441-b029-cd2d532b47d7,malicious,critical,OwnerTenantId=619849e9-5192-4c3f-b0f3-8469980c3958; OwnerTenantDomains=nceconomicresourcecouncil.onmicrosoft.com; ncerc.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,706e0542-2dfb-4e7f-98f0-1e17eab6d5b8,malicious,critical,OwnerTenantId=d8320d6d-7982-471e-965c-d001308ed36e; OwnerTenantDomains=times-7.com; times7research.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
adobe,b0d8ea55-bc29-436c-9f8b-f8829030261d,malicious,critical,OwnerTenantId=0648fcb2-de2a-4a11-bd97-872c9b1a452b; OwnerTenantDomains=damiongosamemorialfo.onmicrosoft.com; dgm-f.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,c4d0b015-689a-4bcf-b69b-3ed5005fddb6,malicious,critical,OwnerTenantId=9c036328-3aba-4d35-aceb-6456f9420b31; OwnerTenantDomains=thermion.se; thermionse.mail.onmicrosoft.com; thermionse.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,c52517b0-46eb-4d61-975a-771d9978dac0,malicious,critical,OwnerTenantId=a205f03e-e6ab-412e-a1f9-360f848b3705; OwnerTenantDomains=anchorsgordon.com; anchorsgordon.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,f927b0f3-6fce-4d59-a246-904fa7317969,malicious,critical,"replyUrls=[   ""https://accposteamworkspace.myclickfunnels.com/home"" ]; homepage=nan; appOwnerOrganizationId=7a481da3-712d-4973-8e61-41cf8ead92c8",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe Acrobat,355d1228-1537-4e90-80a6-dae111bb4d70,malicious,critical,Proofpoint/RH-ISAC Microsoft OAuth app impersonation campaign; malicious Microsoft OAuth Application ID; first seen 2025-02-19,https://rhisac.org/threat-intelligence/microsoft-oauth-app-impersonation-leads-to-mfa-phishing/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe Drive,14b2864e-3cff-4d33-b5cd-7f14ca272ea4,malicious,critical,OwnerTenantId=5fddfbb7-41a3-4bbe-b98c-29827d092e19; OwnerTenantDomains=; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe Drive X,85da47ec-2977-40ab-af03-f3d45aaab169,malicious,critical,OwnerTenantId=5fddfbb7-41a3-4bbe-b98c-29827d092e19; OwnerTenantDomains=; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
COZY BEAR OAuth Redirect App,fc45d3d0-d870-4c83-b3f7-08ebca61d3a0,malicious,critical,ThreatActor: COZY BEAR/APT29; scopes: openid; offline_access; profile,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
docsign,6a77659d-dd6f-4c73-a555-aed25926a05f,malicious,critical,OwnerTenantId=619849e9-5192-4c3f-b0f3-8469980c3958; OwnerTenantDomains=nceconomicresourcecouncil.onmicrosoft.com; ncerc.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Docusign,6628b5b8-55af-42b4-9797-5cd5c148313c,malicious,critical,OwnerTenantId=b25911e3-9339-4019-90ed-b263339449bc; OwnerTenantDomains=levenospenkozhotmail.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
DocuSign,a3903ccd-ec81-4264-8f6a-a7d4cd395fd5,malicious,critical,OwnerTenantId=e297c7b7-297d-4261-a849-e11e0f2bb10f; OwnerTenantDomains=cooltekinc.com; cooltekllc.com; cooltekllc.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Docusign,db2eb385-c02f-44fc-b204-ade7d9f418b1,malicious,critical,"replyUrls=[   ""https://projectfilesteamworde93a.myclickfunnels.com/rfp"" ]; homepage=nan; appOwnerOrganizationId=01e5b161-25f2-4540-964b-1d432cc10031",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Docusign,fdcf7337-92bf-4c70-9888-ea234b6ffb0d,malicious,critical,OwnerTenantId=bb42fc45-200e-4b7b-a63b-70bbdf1c83ec; OwnerTenantDomains=ceyanos.info; ceyanos.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
DocuSign-2025,f99a0806-7650-4d78-acef-71e445dfc844,malicious,critical,OwnerTenantId=3a4f221b-5c4b-4665-9f7d-2ee498224e66; OwnerTenantDomains=wallsofttech.com; wallsofttech.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Excel4Enabler,f66985e0-7bb1-4cc5-a871-1cea533665d9,malicious,critical,"replyUrls=[   ""https://iwljzmwhres67fh.com/office"" ]; homepage=nan; appOwnerOrganizationId=1d2e2b77-68f0-4396-873a-22900b02a553",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
iLSMART,854189f9-4c71-44bb-9880-dd0c2f75922a,malicious,critical,AiTM reverse proxy; captures passwords MFA codes and session cookies; scopes include Mail.ReadWrite; Mail.Send; MailboxSettings.ReadWrite,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Mail_Backup,2ef68ccc-8a4d-42ff-ae88-2d7bb89ad139,malicious,critical,Scopes include Mail.Read; Mail.ReadWrite; Contacts.Read; Calendars.Read; offline_access,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
MyMail Settings,b7cb9a9b-ddc9-4444-935b-1122733c97c4,malicious,critical,OwnerTenantId=2c08ab0d-eed9-4034-bfb7-765c52eceef9; OwnerTenantDomains=; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OAuth phishing app observed in EvilGinx/AiTM lure,57b8c81f-1d9a-42fe-8ba5-2262822d7291,malicious,high,Joe Sandbox report labels this Azure AD client ID as abused to initiate a legitimate-looking OAuth2 flow in an EvilGinx/AiTM phishing lure.,https://www.joesandbox.com/joereverser/analysis/download/8d0148db-3ef0-401f-ab09-60523df1531f?type=html | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OneDrive-2025,31c6b531-dd95-4361-93df-f5a9c906da39,malicious,critical,"replyUrls=[   ""https://cleansbeauty.com/lost/apc.html"" ]; homepage=nan; appOwnerOrganizationId=9f0b1d59-fffb-4488-8f5a-76cec7e557b7",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OneDгive for Business,c7121e86-fe4d-4dbd-b5f3-e61a62ee533a,malicious,critical,"OwnerTenantId=a4afdac5-f28f-4161-87c4-b5f7625bc048; OwnerTenantDomains=epsilonservices.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://outpostportal.net"",   ""https://outpostportal.net/login"" ]; homepage=https://onedrive.live.com/about/en-US/business/; appOwnerOrganizationId=a4afdac5-f28f-4161-87c4-b5f7625bc048",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
PDF,a69a0f78-a77c-451c-b090-b766425caee2,malicious,critical,OwnerTenantId=31aca3e6-069d-4baa-89b7-6502006fe99e; OwnerTenantDomains=lnsrc.org; lnsrclub.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
PERFECTDATA SOFTWARE,ff8d92dc-3d82-41d6-bcbd-b9174d163620,malicious,critical,Scopes: Mail.Read; Contacts.Read; EWS.AccessAsUser.All,https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Potentially malicious OAuth application,bbc79423-4b95-4ab5-814f-5437a954126c,malicious,high,Joe Sandbox report labels this client ID as a potentially malicious OAuth application in a malicious OAuth redirect.,https://www.joesandbox.com/analysis/1887080/0/html | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
SettingsEnabler,1e69a9f6-bb18-452a-baba-b4650ff21882,malicious,critical,"replyUrls=[   ""https://iwljzmwhres67fh.com/office"" ]; homepage=nan; appOwnerOrganizationId=1d2e2b77-68f0-4396-873a-22900b02a553",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
sharedoc,48cb1fac-7195-47b3-98b2-fe3562bee75c,malicious,critical,"OwnerTenantId=619849e9-5192-4c3f-b0f3-8469980c3958; OwnerTenantDomains=nceconomicresourcecouncil.onmicrosoft.com; ncerc.org; LastSeen=2025 | replyUrls=[   ""https://nmcunhasteamworkspace.myclickfunnels.com/secured-sharepoint-document"" ]; homepage=nan; appOwnerOrganizationId=619849e9-5192-4c3f-b0f3-8469980c3958",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Sharеpoiпt Cloud,482fb03a-5218-43c2-8ce6-61956c7ca99b,malicious,critical,OwnerTenantId=0c05c65c-d311-4821-aa22-46b8abec59d5; OwnerTenantDomains=generalimports.onmicrosoft.com; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ShaгePoint Online,4e4d64ac-4a2a-432c-b79e-65ca8213ede5,malicious,critical,"OwnerTenantId=44383e2a-62c5-4d54-ae60-8cdbba60e3b7; OwnerTenantDomains=; LastSeen=2019 | replyUrls=[   ""https://privat-sparkasse.de/login"",   ""https://privat-sparkasse.de"" ]; homepage=https://products.office.com/en-us/sharepoint/collaboration; appOwnerOrganizationId=44383e2a-62c5-4d54-ae60-8cdbba60e3b7",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ShaгePoint Online,768a57a0-1c5e-477a-939a-63aebf2e5ecf,malicious,critical,OwnerTenantId=cbe2bfff-e8d1-464d-bb32-a952e68be197; OwnerTenantDomains=aquaphalts.com; dustdevilbaseball.com; experienccolumbiasc.com; killlpack.com; ledconsultinglc.com; mediabrushmarketings.com; michaelselectrics.com; summitcountysco.com; wgarnett.com; wgarnettassociates.onmicrosoft.com; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ShaгePoint Online,a43a3d51-c821-4b86-9a63-fbc775120fc2,malicious,critical,"OwnerTenantId=eac37962-c0fa-45a7-99cc-ba9d1c921e18; OwnerTenantDomains=bld.group; creiamc.com; creicapital.com; ekistruct.com; greenpole-ps.com; ieng-group.com; ieng.group; ienggroup.onmicrosoft.com; kkodd.co; noknok-inc.co; noknok.co; noknokgroceries.com; twothirtythree.co; LastSeen=2019 | replyUrls=[   ""https://achilleshosting.website/login"",   ""https://achilleshosting.website"" ]; homepage=https://products.office.com/en-us/sharepoint/collaboration; appOwnerOrganizationId=eac37962-c0fa-45a7-99cc-ba9d1c921e18",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ShaгеPoint Cloud | ShaгеPoint  Cloud,0bd8e698-4298-405a-bc6b-da5647a4616b,malicious,critical,"OwnerTenantId=a4afdac5-f28f-4161-87c4-b5f7625bc048; OwnerTenantDomains=epsilonservices.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://achilleshosting.website/login"",   ""https://achilleshosting.website"",   ""https://microzoftonline.com"",   ""https://sharepoint.microzoftonline.com"",   ""https://sharepoint.microzoftonline.com/index.php"" ]; homepage=https://www.office.com/apps?auth=2; appOwnerOrganizationId=a4afdac5-f28f-4161-87c4-b5f7625bc048",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Teams Task Planner,a8ca8dad-f6e6-4b01-9d6b-02e1da6c9d7f,malicious,critical,OwnerTenantId=3a4f221b-5c4b-4665-9f7d-2ee498224e66; OwnerTenantDomains=wallsofttech.com; wallsofttech.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown OAuth phishing app,055399fa-29b9-46ab-994d-4ae06f40bada,malicious,critical,Proofpoint/RH-ISAC Microsoft OAuth app impersonation campaign; malicious Microsoft OAuth Application ID; first seen 2025-02-18,https://rhisac.org/threat-intelligence/microsoft-oauth-app-impersonation-leads-to-mfa-phishing/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown OAuth phishing app,22c606e8-7d68-4a09-89d9-c3c563a453a0,malicious,critical,Proofpoint/RH-ISAC Microsoft OAuth app impersonation campaign; malicious Microsoft OAuth Application ID; first seen 2025-03-11,https://rhisac.org/threat-intelligence/microsoft-oauth-app-impersonation-leads-to-mfa-phishing/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown OAuth phishing app,987c259f-da29-4575-8072-96c610204830,malicious,critical,Proofpoint/RH-ISAC Microsoft OAuth app impersonation campaign; malicious Microsoft OAuth Application ID; first seen 2025-03-18,https://rhisac.org/threat-intelligence/microsoft-oauth-app-impersonation-leads-to-mfa-phishing/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown OAuth phishing app,fe0e32ca-d09e-4f80-af3c-5b086d4b8e66,malicious,critical,Proofpoint/RH-ISAC Microsoft OAuth app impersonation campaign; malicious Microsoft OAuth Application ID; first seen 2025-03-06,https://rhisac.org/threat-intelligence/microsoft-oauth-app-impersonation-leads-to-mfa-phishing/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,00afba72-9008-454f-bbe6-d24e743fbe73,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,1b6f59dd-45da-4ff7-9b70-36fb780f855b,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,3cc07cb4-dba8-4051-82cd-93250a43b53b,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,440f4886-2c3a-4269-a78c-088b3b521e02,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,6755c710-194d-464f-9365-7d89d773b443,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,6efe57d9-b00a-4091-b861-a16b7368ab11,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,6fae87b3-3a0f-4519-8b56-006ba50f62c4,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,89430f84-6c29-43f8-9b23-62871a314417,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,8c659c19-8a90-49b0-a9f1-15aeba3bb449,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,9a36eaa2-cf9d-4e50-ad3e-58c9b5c04255,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,a68c61ee-6185-4b36-bc59-1dca946d95cb,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,bc618bf4-c6d1-4653-8c4d-c6036001b226,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,c752e1ef-e475-43c0-9b97-9c9832dd3755,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,f73c6332-4618-4b9d-bcd4-c77726581acd,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Users,21f81c9e-475d-4c26-9308-1de74a286f73,malicious,critical,OwnerTenantId=69168d16-9597-47a2-a4eb-a81900185529; OwnerTenantDomains=fpwd.com; netorgft8261298.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Мicгoѕоft. Сloud App Ѕесuгity,626b6813-13dc-45d7-abfe-a7fe09fd5276,malicious,critical,"OwnerTenantId=0c05c65c-d311-4821-aa22-46b8abec59d5; OwnerTenantDomains=generalimports.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://outpostportal.net"",   ""https://outpostportal.net/login"" ]; homepage=http://www.cloudappsecurity.com; appOwnerOrganizationId=0c05c65c-d311-4821-aa22-46b8abec59d5",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ОneDгive for Business,443efa1c-8a0a-47a0-bd31-7c30fe32dee4,malicious,critical,OwnerTenantId=0c05c65c-d311-4821-aa22-46b8abec59d5; OwnerTenantDomains=generalimports.onmicrosoft.com; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ОпeDrive for Business,3280b1dc-4b64-4f90-a16a-b0804e6ec4ca,malicious,critical,"OwnerTenantId=a4afdac5-f28f-4161-87c4-b5f7625bc048; OwnerTenantDomains=epsilonservices.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://woolydogstore.com"",   ""https://woolydogstore.com/login"" ]; homepage=https://onedrive.live.com/about/en-us/business; appOwnerOrganizationId=a4afdac5-f28f-4161-87c4-b5f7625bc048",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
